orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
0.0,29882,1363,2361,17836,9,11243,-20,22453,1363,2361,11817,9,10969,-19,25163,1363,2361,14281,9,10246,-21,16181,0,2361,11038,11,10969,-18,17334,0,2361,11038,11,10969,-19,13203,890,2361,10034,20,11832,-16,14188,890,2361,10733,20,11730,-17,11708,2253,2361,8608,26,10058,-17,11366,890,2361,10733,34,10102,-17,8277,890,2361,7536,34,10102,-13
1.0,0,49434,37269,818,17,16111,17,0,50246,39919,0,17,16111,17,0,42627,31039,818,17,15390,16,0,44652,33935,818,17,17306,16,0,40234,25485,818,17,17306,15,0,40234,27371,818,17,17306,16,0,33058,21454,0,17,15705,9,0,33945,23527,0,21,16714,10,0,32952,19702,0,17,18337,8,0,33839,21775,0,21,19346,9
1.0,1800,8806,12431,676,217,9901,4,1800,8806,13873,676,217,9901,4,1800,8806,11638,676,292,9726,4,1800,9807,12810,676,326,9726,4,1800,9889,10807,676,359,9164,4,1800,9889,12046,0,365,10739,-22,1800,9092,10926,0,528,9911,-22,1800,10017,12088,0,539,9177,-22,1800,10017,12088,0,539,9177,-22,794,11089,12860,0,590,9177,-22
1.0,1787,24988,28746,0,67,19035,25,839,27920,33275,0,67,20189,26,948,24135,26784,0,67,16593,27,0,27067,31313,0,67,17747,28,0,25034,24404,0,67,17747,28,0,25047,26964,0,67,18006,27,0,17215,22140,0,67,14376,20,0,17215,25183,0,74,14376,22,0,15281,21673,0,67,11327,23,0,15281,23294,0,77,12151,25
1.0,2051,11722,15870,0,124,9352,18,1006,11722,17433,0,124,9352,18,1006,10446,14398,0,124,10426,18,1006,11419,15854,0,124,10969,18,1006,9998,13736,0,124,11742,11,1006,10910,14855,0,124,11095,11,1006,10910,12805,0,226,11095,11,1006,10910,13749,0,124,10336,10,1006,10910,13749,0,139,11345,10,1006,10910,13749,0,139,11345,11
1.0,0,101247,83963,0,131,34932,56,0,103138,89906,0,131,37497,56,0,86468,74849,0,131,33842,34,0,87488,78327,0,131,34514,37,0,69484,68064,0,131,32835,36,0,71545,71297,0,131,34723,36,0,64431,62578,0,0,30228,38,0,66492,65811,0,0,31383,38,0,56038,57934,0,1,27020,38,0,64292,60547,0,58,30558,38
1.0,6084,7481,7618,715,169,7708,-7,6084,7481,8840,715,198,10054,-7,6084,5318,7393,715,198,10054,-7,5186,5318,8566,715,278,10054,-7,6084,4505,7176,715,198,11726,-7,5186,4505,8349,715,278,11726,-7,6084,3739,6936,715,198,10062,-6,5292,3739,6936,0,199,10062,-6,3249,3539,6886,639,206,8575,-6,897,2773,7202,0,278,11288,26
1.0,0,45772,46444,0,34,14521,31,0,48601,48823,0,34,15225,32,0,37559,38200,0,34,15262,30,0,36589,40142,0,55,15262,30,0,34041,33487,0,55,15262,30,0,37149,35389,0,55,15988,30,0,32164,29194,0,55,14949,33,0,33530,31253,0,35,12253,32,0,30392,27015,0,55,14223,34,0,32810,29510,911,35,10755,41
1.0,894,11350,6174,2015,0,4416,3,894,12341,7965,2015,0,4416,3,894,9245,6926,3056,0,4416,-3,0,9245,8045,1595,125,5941,-3,0,8353,6889,1595,138,5941,-4,0,6945,7130,554,184,5015,-2,0,6053,5974,554,197,5015,-3,0,7737,7130,835,184,5015,-2,0,6845,5974,835,197,5015,-3,0,6845,5974,0,197,5015,2
0.0,19133,1743,2633,19019,6,7705,-15,13073,1743,2633,15796,31,6859,-15,13336,1743,2633,10232,6,5141,-16,8035,1743,1794,8555,31,5872,-15,9716,1743,2633,8555,31,5777,-16,6700,1743,3812,6635,31,4648,-11,6700,825,3812,6635,31,4648,-14,4770,918,1794,5499,31,4984,-15,5720,918,1794,5499,31,6205,-22,3536,918,2973,4635,31,5076,-21
0.0,14005,10505,11005,19642,1080,2214,-2,10554,11169,11882,16099,741,3015,-5,10554,8173,11882,16099,741,3025,-9,6793,7986,11005,9916,579,2724,0,6793,6370,8963,9916,393,2724,0,6793,4092,11005,8060,579,2165,-1,5706,6922,9840,8980,250,2929,-8,5706,3051,11982,7203,240,1998,-10,4897,3819,8920,7203,241,1998,-10,3084,1881,11875,6599,240,2634,-13
1.0,3655,14299,11683,4451,154,6364,-1,3051,14299,11683,2492,181,6364,0,3051,13434,9116,2492,181,6364,-1,3051,13434,10100,1949,181,6364,6,3922,10434,6887,1585,229,6575,-1,3922,10434,7888,1585,243,6208,0,3051,7646,6393,1949,195,5997,6,3051,7646,7506,1949,195,5354,11,3051,7646,6166,1949,195,6078,5,3051,7646,7072,1042,195,5886,5
